UserID,Role,Round,Total,move,gameType,propose,accept
a959da3c-fefb-4311-a028-cf7444f218df,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
2a335e78-6ed8-4f42-87d1-63773cc0af28,player,1,100,"[55.0, 35.0]",ultimatum_strategy,55,35
6f45d958-5be0-40c9-b335-b70e50dce9cf,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
508522f0-4071-44e8-9676-1b6d0886ec7c,player,1,100,"[53.0, 50.0]",ultimatum_strategy,53,50
4fb38bc7-def0-4913-8695-95e91738f507,player,1,100,"[49.0, 50.0]",ultimatum_strategy,49,50
8a4d6e0e-1309-4689-8d47-2c7e7ffc3fab,player,1,100,"[50.0, 35.0]",ultimatum_strategy,50,35
a10220f2-a2c7-4b55-9407-c016f9596a6a,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
d41c8e87-f310-4b0f-a892-bbc210e6283b,player,1,100,"[40.0, 30.0]",ultimatum_strategy,40,30
07512406-4b6f-4440-9d0e-097ec0305c35,player,1,100,"[45.0, 50.0]",ultimatum_strategy,45,50
d2cd0657-6408-4996-9dff-a90446b56ed8,player,1,100,"[45.0, 50.0]",ultimatum_strategy,45,50
49733b7a-6aa2-47ed-b074-e62f16569f82,player,1,100,"[45.0, 40.0]",ultimatum_strategy,45,40
c1eb2e01-2c7c-4bf9-8a7c-1cd18874c35e,player,1,100,"[-1.0, -1.0]",ultimatum_strategy,-1,-1
1f0b5a41-d8d7-4220-b972-b9f121f89a13,player,1,100,"[49.0, 49.0]",ultimatum_strategy,49,49
84b60071-a1da-4cec-b0e6-df3240760a96,player,1,100,"[-1.0, -1.0]",ultimatum_strategy,-1,-1
f4b12b4d-81df-4e81-b445-93e80e0a4ab0,player,1,100,"[55.0, 40.0]",ultimatum_strategy,55,40
b3a51f3e-a13e-4334-975a-2221f8ae220c,player,1,100,"[40.0, 30.0]",ultimatum_strategy,40,30
56f99bae-bc66-4160-8a04-8ad2283ac8ff,player,1,100,"[49.0, 49.0]",ultimatum_strategy,49,49
a37ef459-879e-423e-ba6d-6cf6796a7b35,player,1,100,"[49.0, 50.0]",ultimatum_strategy,49,50
a61a7678-284e-4dc3-bdc0-cb2107df2deb,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
da851d2d-cc42-47eb-9572-f05d5470f58e,player,1,100,"[50.0, 25.0]",ultimatum_strategy,50,25
4794f887-0463-4d61-af1f-0562d7027b64,player,1,100,"[51.0, 45.0]",ultimatum_strategy,51,45
f3e8fb53-02c5-4176-96f6-1c2ef069b8d9,player,1,100,"[55.0, 50.0]",ultimatum_strategy,55,50
8ea09de8-4d08-4c00-aa87-327a12b0fd3f,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
f970d397-a541-4090-9338-f80771d9f5c4,player,1,100,"[48.0, 43.0]",ultimatum_strategy,48,43
9f877804-ea69-4287-bc18-c97ddee7e371,player,1,100,"[45.0, 30.0]",ultimatum_strategy,45,30
675a894a-944c-4f2a-b27b-609c13370638,player,1,100,"[10.0, 35.0]",ultimatum_strategy,10,35
647e8d0c-02be-4848-9247-290f1c11afd5,player,1,100,"[20.0, 10.0]",ultimatum_strategy,20,10
25826a25-40ab-4e8c-8136-fc34abcb9b9b,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
10d56b10-212f-4d5f-b3f8-1c1fefb02838,player,1,100,"[55.0, 45.0]",ultimatum_strategy,55,45
f04ab8c8-ff96-40a3-8d8c-2d52a5d3f199,player,1,100,"[0.0, 100.0]",ultimatum_strategy,0,100
0fa731a7-1f5d-42e5-96e2-4e13014e47a5,player,1,100,"[50.0, 45.0]",ultimatum_strategy,50,45
27bc580a-fc18-4eb1-b9bd-526e8d7defda,player,1,100,"[60.0, 6.0]",ultimatum_strategy,60,6
b30a30f9-e529-4ad1-b0b3-1bd3b71414c5,player,1,100,"[50.0, 25.0]",ultimatum_strategy,50,25
17af7aca-b7c1-485b-98be-d6aa0fa5bf38,player,1,100,"[-1.0, -1.0]",ultimatum_strategy,-1,-1
8a351bfd-e3a7-4e41-8250-1b0b0a33b214,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
6684225e-781c-4cec-993b-b0302201eb27,player,1,100,"[44.0, 44.0]",ultimatum_strategy,44,44
6684225e-781c-4cec-993b-b0302201eb27,player,1,100,"[51.0, 49.0]",ultimatum_strategy,51,49
9e9d1fc3-0c8a-421e-bfd1-d35ee0bb634b,player,1,100,"[70.0, 30.0]",ultimatum_strategy,70,30
9e9d1fc3-0c8a-421e-bfd1-d35ee0bb634b,player,1,100,"[50.0, 50.0]",ultimatum_strategy,50,50
ebbce96e-ece6-472f-bb55-d673ceb459f3,player,1,100,"[45.0, 45.0]",ultimatum_strategy,45,45
ebbce96e-ece6-472f-bb55-d673ceb459f3,player,1,100,"[47.0, 47.0]",ultimatum_strategy,47,47
c76768b2-343f-4b56-bd62-644070544e25,player,1,100,"[45.0, 40.0]",ultimatum_strategy,45,40
c76768b2-343f-4b56-bd62-644070544e25,player,1,100,"[40.0, 2.0]",ultimatum_strategy,40,2
9dea9608-3f89-4e30-a94c-fd2099cb87a0,player,1,100,"[55.0, 50.0]",ultimatum_strategy,55,50
9dea9608-3f89-4e30-a94c-fd2099cb87a0,player,1,100,"[50.0, 55.0]",ultimatum_strategy,50,55
a03bd3de-424e-464c-bbc2-a1a0d7c1eeea,player,1,100,"[60.0, 30.0]",ultimatum_strategy,60,30
a03bd3de-424e-464c-bbc2-a1a0d7c1eeea,player,1,100,"[55.0, 40.0]",ultimatum_strategy,55,40
f5e18cbd-48e5-4146-8a87-8be4a87ff781,player,1,100,"[31.0, 30.0]",ultimatum_strategy,31,30
f5e18cbd-48e5-4146-8a87-8be4a87ff781,player,1,100,"[31.0, 30.0]",ultimatum_strategy,31,30
b128b918-7530-42c3-a5c9-02e7c0462c78,player,1,100,"[50.0, 1.0]",ultimatum_strategy,50,1
b128b918-7530-42c3-a5c9-02e7c0462c78,player,1,100,"[65.0, 1.0]",ultimatum_strategy,65,1
87a77f9c-8436-44dc-9dc3-4d9c4521de3d,player,1,100,"[35.0, 30.0]",ultimatum_strategy,35,30
87a77f9c-8436-44dc-9dc3-4d9c4521de3d,player,1,100,"[40.0, 35.0]",ultimatum_strategy,40,35
d20b567f-0e04-4b66-a1e6-e1119943baba,player,1,100,"[40.0, 30.0]",ultimatum_strategy,40,30
d20b567f-0e04-4b66-a1e6-e1119943baba,player,1,100,"[40.0, 1.0]",ultimatum_strategy,40,1
5d2062b6-b055-493f-b778-e57b018bbd7f,player,1,100,"[60.0, 30.0]",ultimatum_strategy,60,30
5d2062b6-b055-493f-b778-e57b018bbd7f,player,1,100,"[49.0, 0.0]",ultimatum_strategy,49,0
71322147-0b30-402e-9420-d2326d530dc9,player,1,100,"[40.0, 10.0]",ultimatum_strategy,40,10
